id,time,timestamp,strategy,asset,side,price,size,pnl,status,confidence,edge,latency,note
C5LEG-1779228325-ETH,00:05:25,1779228325.2801526,coin5min,ETH,NO_LEG,0.4835,2.12,0.0,LEG1_OPEN,,-0.02,0.0,LEG1 NO 0.4835 | wait YES <= 0.5050 | max 45s | budget=$2.12
C5LEG-1779228324-BTC,00:05:24,1779228324.9050186,coin5min,BTC,NO_LEG,0.4982,5.0,0.0,LEG1_OPEN,,-0.01,0.0,LEG1 NO 0.4982 | wait YES <= 0.4950 | max 45s | budget=$5.00
C5LEG-1779228278-SOL,00:05:25,1779228325.6536932,coin5min,SOL,NO_LEG,0.476,3.52,3.73,LEG1_WIN,,-0.02,0.0,leg1 expiry | NO only | ref=84.56 final=84.34 | fee=0.00 slip=0.15
C5LEG-1779228278-ETH,00:05:25,1779228325.2467687,coin5min,ETH,NO_LEG,0.462,1.15,1.19,LEG1_WIN,,-0.02,0.0,leg1 expiry | NO only | ref=2118.11 final=2113.09 | fee=0.00 slip=0.15
C5LEG-1779228277-BTC,00:05:24,1779228324.8609066,coin5min,BTC,NO_LEG,0.4491,5.0,1.13,WIN,,-0.01,0.0,expiry | ref=76987.96 final=76867.99 outcome=NO | fee=0.00 slip=0.00
C5LEG-1779228233-SOL,00:04:38,1779228278.5725396,coin5min,SOL,NO_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | NO only | ref=84.62 final=84.34 | fee=0.00 slip=0.15
C5LEG-1779228232-ETH,00:04:38,1779228278.2622414,coin5min,ETH,NO_LEG,0.482,1.2,1.14,LEG1_WIN,,-0.03,0.0,leg1 expiry | NO only | ref=2119.18 final=2112.64 | fee=0.00 slip=0.15
C5LEG-1779228231-BTC,00:04:37,1779228277.9271863,coin5min,BTC,NO_LEG,0.4589,5.0,5.75,LEG1_WIN,,-0.01,0.0,leg1 expiry | NO only | ref=77032.40 final=76853.32 | fee=0.00 slip=0.15
C5LEG-1779227854-BTC,00:03:48,1779228228.0141003,coin5min,BTC,NO_LEG,0.5277,5.0,4.33,LEG1_WIN,,-0.01,0.0,leg1 expiry | NO only | ref=77026.48 final=77000.01 | fee=0.00 slip=0.15
C5LEG-1779227852-SOL,00:03:53,1779228233.2865322,coin5min,SOL,NO_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | NO only | ref=84.60 final=84.28 | fee=0.00 slip=0.15
